node,GEOID20,district
1429,08035013905,4
1430,08041006501,7
1431,08041008000,7
1432,08041003708,7
1433,08041004008,7
1434,08041004901,7
1435,08041005900,7
1436,08077001503,0
1437,08077001504,0
1438,08077001104,0
1439,08077001304,0
1440,08077001103,0
1441,08077000801,0
1442,08077000802,0
1443,08077001303,0
1444,08014030200,2
1445,08041002300,7
1446,08041006600,7
